borough,bin,block,lot,community_board,filing_date,issuance_date,permit_type,job_type,permit_year,permit_month,approval_lag_days,is_new_building
Brooklyn,3418414,1240,69,308.0,2017-01-30,2017-01-30,NB,NB,2017,1,0.0,1
Bronx,2127138,5599,41,210.0,2016-11-04,2016-11-04,NB,NB,2016,11,0.0,1
Queens,4105800,4666,29,407.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Queens,4595522,1878,2,404.0,2017-04-03,2017-04-03,NB,NB,2017,4,0.0,1
Bronx,2129380,5416,125,210.0,2019-08-23,2019-08-23,NB,NB,2019,8,0.0,1
Queens,4594816,1999,67,404.0,2016-05-13,2016-05-16,NB,NB,2016,5,3.0,1
Brooklyn,3396741,2135,35,301.0,2015-12-29,2015-12-29,NB,NB,2015,12,0.0,1
Staten Island,5166652,3734,20,502.0,2017-08-17,2017-08-17,NB,NB,2017,8,0.0,1
Brooklyn,3418441,5500,25,312.0,2016-09-02,2016-09-02,NB,NB,2016,9,0.0,1
Queens,4607930,4683,47,407.0,2017-01-03,2017-02-28,NB,NB,2017,1,56.0,1
Bronx,2002238,2433,67,204.0,2016-04-20,2016-04-20,NB,NB,2016,4,0.0,1
Manhattan,1088841,806,34,105.0,2016-09-29,2016-09-29,NB,NB,2016,9,0.0,1
Queens,4594845,11555,8,410.0,2019-08-27,2019-08-27,NB,NB,2019,8,0.0,1
Queens,4596388,15905,302,,2015-10-23,2015-10-23,NB,NB,2015,10,0.0,1
Brooklyn,3421654,8900,988,315.0,2015-06-09,2015-06-09,NB,NB,2015,6,0.0,1
Brooklyn,3413946,4819,11,309.0,2016-01-06,2016-01-21,NB,NB,2016,1,15.0,1
Brooklyn,3393247,1222,67,308.0,2016-09-02,2016-09-29,NB,NB,2016,9,27.0,1
Queens,4073661,3123,27,406.0,2016-05-18,2016-05-18,NB,NB,2016,5,0.0,1
Bronx,2128352,5330,31,210.0,2017-07-28,2017-07-28,NB,NB,2017,7,0.0,1
Bronx,2124391,2960,111,206.0,2015-06-30,2015-06-30,NB,NB,2015,6,0.0,1
Brooklyn,3414051,4884,50,317.0,2016-09-16,2016-09-16,NB,NB,2016,9,0.0,1
Staten Island,5166724,7884,5,503.0,2016-09-09,2016-09-09,NB,NB,2016,9,0.0,1
Brooklyn,3418326,5090,86,317.0,2017-09-15,2017-09-15,NB,NB,2017,9,0.0,1
Manhattan,1090211,441,7504,103.0,2017-05-18,2017-05-18,NB,NB,2017,5,0.0,1
Brooklyn,3396269,1146,46,308.0,2017-02-10,2017-02-10,NB,NB,2017,2,0.0,1
Staten Island,5169462,302,18,501.0,2017-10-26,2017-10-26,NB,NB,2017,10,0.0,1
Brooklyn,3425059,1140,55,308.0,2019-08-30,2019-08-30,NB,NB,2019,8,0.0,1
Brooklyn,3154221,6066,26,310.0,2019-08-30,2019-08-30,NB,NB,2019,8,0.0,1
Brooklyn,3394438,1973,2,303.0,2016-08-29,,NB,NB,2016,8,,1
Queens,4595504,10214,40,412.0,2017-01-31,2017-01-31,NB,NB,2017,1,0.0,1
Brooklyn,3411750,8743,42,315.0,2017-03-29,2017-03-29,NB,NB,2017,3,0.0,1
Brooklyn,3418241,556,118,306.0,2016-10-25,2017-04-24,NB,NB,2016,10,181.0,1
Queens,4136781,6188,4,411.0,2016-09-29,2016-09-29,NB,NB,2016,9,0.0,1
Manhattan,1089701,863,18,105.0,2017-10-19,2017-10-19,NB,NB,2017,10,0.0,1
Bronx,2816970,3179,60,205.0,2017-03-31,2017-03-31,NB,NB,2017,3,0.0,1
Brooklyn,3398314,4452,325,305.0,2015-12-07,2015-12-07,NB,NB,2015,12,0.0,1
Bronx,2831310,2617,13,201.0,2015-10-29,,NB,NB,2015,10,,1
Brooklyn,3010209,685,48,307.0,2015-09-02,2015-09-02,NB,NB,2015,9,0.0,1
Brooklyn,3076576,3349,45,304.0,2017-02-21,2017-02-21,NB,NB,2017,2,0.0,1
Brooklyn,3413716,940,111,306.0,2017-08-22,2017-08-22,NB,NB,2017,8,0.0,1
Staten Island,5168748,1196,47,501.0,2016-08-18,2016-08-18,NB,NB,2016,8,0.0,1
Queens,4072821,3103,71,406.0,2015-11-24,2015-11-24,NB,NB,2015,11,0.0,1
Queens,4616948,15609,6,414.0,2016-08-03,2016-08-03,NB,NB,2016,8,0.0,1
Brooklyn,3397041,8665,533,313.0,2019-07-25,2019-07-25,NB,NB,2019,7,0.0,1
Queens,4198273,9417,42,409.0,2016-02-01,2016-02-01,NB,NB,2016,2,0.0,1
Queens,4607550,15579,41,414.0,2016-11-03,2016-11-03,NB,NB,2016,11,0.0,1
Manhattan,1082759,72,7,101.0,2016-03-24,2016-04-06,NB,NB,2016,3,13.0,1
Manhattan,1089953,394,10,103.0,2015-12-31,2015-12-31,NB,NB,2015,12,0.0,1
Manhattan,1088696,451,48,103.0,2015-06-16,2015-06-18,NB,NB,2015,6,2.0,1
Queens,4177855,8706,43,413.0,2016-04-14,2016-05-13,NB,NB,2016,4,29.0,1
Staten Island,5159158,4444,35,503.0,2016-07-20,2016-07-22,NB,NB,2016,7,2.0,1
Manhattan,1047589,1510,59,108.0,2017-07-26,2017-07-26,NB,NB,2017,7,0.0,1
Queens,4596290,15905,51,,2016-06-24,2016-06-24,NB,NB,2016,6,0.0,1
Brooklyn,3191743,7105,160,315.0,2016-07-21,2016-07-21,NB,NB,2016,7,0.0,1
Staten Island,5160440,6110,50,503.0,2016-01-19,2016-01-19,NB,NB,2016,1,0.0,1
Queens,4114969,5062,6,407.0,2017-10-13,2017-10-13,NB,NB,2017,10,0.0,1
Bronx,2119435,5643,235,210.0,2015-04-22,2015-04-22,NB,NB,2015,4,0.0,1
Queens,4292514,13962,105,410.0,2015-03-18,2015-03-18,NB,NB,2015,3,0.0,1
Brooklyn,3138179,5651,60,312.0,2017-07-21,2017-07-21,NB,NB,2017,7,0.0,1
Queens,4862876,1536,13,404.0,2015-08-04,2015-08-18,NB,NB,2015,8,14.0,1
Staten Island,5152953,498,71,501.0,2017-10-19,2017-10-19,NB,NB,2017,10,0.0,1
Brooklyn,3138180,5651,62,312.0,2017-07-21,2017-07-21,NB,NB,2017,7,0.0,1
Queens,4615287,16350,300,414.0,2015-04-30,2015-04-30,NB,NB,2015,4,0.0,1
Staten Island,5105764,3801,7,502.0,2016-11-28,2016-11-28,NB,NB,2016,11,0.0,1
Bronx,2127372,3436,133,209.0,2016-06-28,2016-06-28,NB,NB,2016,6,0.0,1
Bronx,2130350,4340,8,211.0,2019-09-13,2019-09-13,NB,NB,2019,9,0.0,1
Queens,4036396,1479,11,403.0,2017-10-25,2017-10-25,NB,NB,2017,10,0.0,1
Queens,4050465,2091,20,406.0,2016-03-20,2016-03-20,NB,NB,2016,3,0.0,1
Queens,4213816,9982,23,412.0,2017-03-22,2017-03-22,NB,NB,2017,3,0.0,1
