borough,bin__,block,lot,community_board,filing_date,issuance_date,permit_type,job_type
BROOKLYN,3425002,01734,00070,303,2020-05-19 ,2020-05-19 ,NB,NB
QUEENS,4541525,05192,00051,407,2020-05-07 ,2020-05-07 ,NB,NB
MANHATTAN,1090662,01556,00002,108,2020-04-06 ,2020-04-15 ,NB,NB
STATEN ISLAND,5022861,00882,00041,502,2020-03-31 ,2020-03-31 ,NB,NB
STATEN ISLAND,5141059,05775,00056,503,2020-03-09 ,2020-03-09 ,NB,NB
STATEN ISLAND,5169839,06662,00016,503,2020-03-05 ,2020-03-05 ,NB,NB
BROOKLYN,3072209,03171,00028,304,2020-03-03 ,2020-03-03 ,NB,NB
QUEENS,4031845,01349,00006,402,2020-03-02 ,2020-03-02 ,NB,NB
BROOKLYN,3083774,03717,00006,305,2020-03-02 ,2020-03-02 ,NB,NB
QUEENS,4438162,05181,00017,407,2020-02-25 ,2020-02-25 ,NB,NB
QUEENS,4114764,05051,00075,407,2020-02-20 ,2020-02-20 ,NB,NB
MANHATTAN,1047461,01508,00004,108,2020-02-10 ,2020-02-10 ,NB,NB
BRONX,2128955,02674,00009,201,2020-01-28 ,2020-01-28 ,NB,NB
STATEN ISLAND,5170298,01074,00043,501,2020-01-27 ,2020-01-27 ,NB,NB
STATEN ISLAND,5171546,03284,00076,502,2020-01-24 ,2020-01-24 ,NB,NB
MANHATTAN,1091580,01932,00005,110,2020-01-24 ,2020-01-27 ,NB,NB
QUEENS,4623096,12136,00047,412,2020-01-15 ,2020-01-15 ,NB,NB
MANHATTAN,1090788,00425,00028,103,2020-01-09 ,2020-01-09 ,NB,NB
MANHATTAN,1089694,00729,00051,104,2020-01-08 ,2020-01-09 ,NB,NB
STATEN ISLAND,5164807,05523,00062,503,2020-01-06 ,2020-01-06 ,NB,NB
QUEENS,4618620,02159,00080,406,2020-01-06 ,2020-01-06 ,NB,NB
BROOKLYN,3421775,05966,00001,310,2020-01-03 ,2020-01-03 ,NB,NB
QUEENS,4171635,08263,00120,411,2019-12-31 ,2019-12-31 ,NB,NB
BROOKLYN,3075293,03294,00020,304,2019-12-26 ,2019-12-26 ,NB,NB
QUEENS,4102997,04530,00029,407,2019-12-26 ,2019-12-26 ,NB,NB
BROOKLYN,3426699,08771,00119,315,2019-12-24 ,2019-12-24 ,NB,NB
QUEENS,4618091,00642,00036,401,2019-12-23 ,2019-12-23 ,NB,NB
BROOKLYN,3424499,04060,00016,305,2019-12-20 ,2019-12-20 ,NB,NB
STATEN ISLAND,5171397,00105,00001,501,2019-12-18 ,2019-12-18 ,NB,NB
BROOKLYN,3038424,01426,00023,309,2019-12-13 ,2019-12-13 ,NB,NB
QUEENS,4618382,04387,00101,407,2019-12-05 ,2019-12-05 ,NB,NB
QUEENS,4623126,04416,00181,407,2019-11-20 ,2019-12-12 ,NB,NB
BROOKLYN,3421943,01468,00056,316,2019-11-08 ,2019-11-08 ,NB,NB
BROOKLYN,3107160,04809,00023,309,2019-11-04 ,2019-11-04 ,NB,NB
MANHATTAN,1054682,01790,00001,111,2019-10-29 ,2019-10-29 ,NB,NB
BRONX,2127491,04980,00078,212,2019-10-29 ,2019-11-07 ,NB,NB
BROOKLYN,3853124,05495,00911,312,2019-10-24 ,2019-10-24 ,NB,NB
QUEENS,4111993,04949,00075,407,2019-10-17 ,2019-10-17 ,NB,NB
BROOKLYN,3411833,04124,00031,305,2019-10-11 ,2019-10-11 ,NB,NB
BROOKLYN,3424222,07072,00002,313,2019-10-10 ,2019-10-29 ,NB,NB
MANHATTAN,1080924,01050,00001,104,2019-10-08 ,2019-10-08 ,NB,NB
QUEENS,4623192,16350,00400,414,2019-10-07 ,2019-10-07 ,NB,NB
QUEENS,4121604,05388,00039,407,2019-10-07 ,2019-10-07 ,NB,NB
BROOKLYN,3423976,02030,00047,302,2019-10-07 ,2019-10-07 ,NB,NB
BRONX,2005292,02692,00080,202,2019-10-07 ,2019-10-07 ,NB,NB
QUEENS,4030858,01320,00037,402,2019-10-03 ,2019-10-03 ,NB,NB
STATEN ISLAND,5164808,05523,00060,503,2019-10-02 ,2019-10-02 ,NB,NB
MANHATTAN,1089828,00602,00083,102,2019-10-01 ,2019-10-01 ,NB,NB
